Table 1
ID	TERM	HIT	LINK	L FT	C FT	TALLY 0	IL YR	IU YR	BL YR	BU YR	COLLECTOR	TITLE	AID 0		AID 1																
mmm	"""british yucatan""~7"	https://researchworks.oclc.org/archivegrid/fa.php?id=171&fileloc=171_quodlibumichedubbhleadumichbhl86175viewtext	oclc	eee	eee	eee	eee	eee	eee	eee	University of Michigan - Bentley Historical Library	mmm	eee		eee																
mmm	"""british yucatan""~7"	https://researchworks.oclc.org/archivegrid/fa.php?id=421&fileloc=421_hdllocgovlocmsseadmssms0170132	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	"""british yucatan""~7"	https://researchworks.oclc.org/archivegrid/collection/data/10969_svorocdliborgoaceadprime2002ccdmsc8vd70v8xml?p=1&q=%22british+yucatan%22%7E7	oclc	eee	eee	eee	eee	eee	eee	eee	Sherman Library and Gardens	mmm	eee		eee																
mmm	"""british yucatan""~7"	https://researchworks.oclc.org/archivegrid/collection/data/380_vorocdliborgoaceadprime2002gettyspcoll2004m18xml?p=1&q=%22british+yucatan%22%7E7	oclc	eee	eee	eee	eee	eee	eee	eee	Getty Research Institute	mmm	eee		eee																
mmm	"""british yucatan""~7"	https://researchworks.oclc.org/archivegrid/fa.php?id=153&fileloc=153_swwwlibuchicagoedueadrlgicuspclkatzfxml	oclc	eee	eee	eee	eee	eee	eee	eee	University of Chicago - Special Collections Research Center	mmm	eee		eee																
mmm	"""belize 17th""~10"	https://researchworks.oclc.org/archivegrid/fa.php?id=440&fileloc=440_sarchivesbodleianoxacukrepositories2resources1924	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	"""british belize""~3"	https://researchworks.oclc.org/archivegrid/fa.php?id=142&fileloc=142_sarchivesiuedueadinulivad6653xml	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	"""british belize""~3"	https://researchworks.oclc.org/archivegrid/fa.php?id=11031&fileloc=11031_sarchivestulaneedurepositories8resources2169	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	"""british belize""~3"	https://researchworks.oclc.org/archivegrid/fa.php?id=440&fileloc=440_sarchivesbodleianoxacukrepositories2resources1958	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	"""british belize""~3"	https://researchworks.oclc.org/archivegrid/collection/data/441717262	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
