C1—30 / Online collections of archival material.
ID	NO	TYPE	ALT ID	PERIOD	PERIOD	VOLS	ITEM	CITY	COUNTRY	FIRST PUB	LAST PUB	REPOSITORY	CITY	COUNTRY	VIA	NOTE	LINK	
		P	CDI	xxx		42	"Colección de documentos inéditos, relativos al descubrimiento, conquista y organización de las antiguas posesiones españolas de América y Oceanía, sacados de los archivos del reino, y muy especial del de las Indias"	Madrid	Spain	1864	1884							
		P	Charlevoix	xxx		3	Histoire de l'Isle espagnole ou de S. Domingue	Paris	France	1730	1733							
		P	Terte	xxx		4	Histoire generale des Antilles habitées par les François	Paris	France	1667	1671							
		P	Winthrop d	1630	1649	2	History of New England from 1630 to 1649	Boston	USA	1825	1826							
		P	Hon Alm	1638	1830	5	Honduras Almanack	Belize	Belize	1826	1830				Burdon 1			
		P	Labat	xxx		6	Nouveau voyage aux isles de l'Amérique	Paris	France	1722	1722				Bibliothèque nationale de France Catalogue	Bibliothèque nationale de France Catalogue = Gallica Link: https://gallica.bnf.fr/accueil/en/content/accueil-en?mode=desktop 		
		P	Lon 29	1725	1729	1	Observations on the conduct of Great-Britain : with regard to the negociations and other transactions abroad	London	UK	1729	1729				Gale / Sabin Americana	Printed and sold by J. Roberts		
		P	Jameson	1638	1772	1	Privateering and Piracy in the Colonial Period	New York	USA	1923	1923					Edited by J. F. Jameson		
		P	"Sanchez, Rel"	1641	1642	1	"Relacion del suceso que tuvo Francisco Diaz Pimienta, general de la real armada de las Indias, en la isla de Santa Catalina"	Madrid	Spain	1642	1642							
		P		1101	1714	11	Statutes of the Realm			1810	1828				Gale / Making of the Modern World	No place of publication given / edited by John Raithby		
		P	Lon 62	xxx		3	"The American gazetteer : containing a distinct account of all the parts of the New world : their situation, climate, soil, produce, former and present condition : commodities, manufactures, and commerce : together with an accurate account of the cities, towns, ports, bays, rivers, lakes, mountains, passes, and fortifications ..."	London	UK	1762	1762				Gale / Sabin Americana	Printed for A. Millar [etc.]		
		P	Lon 24	1814	1824	1	"The defence, &c. &c."	London	UK	1824	1824				Gale / Slavery and Anti-Slavery	"= Defence of the settlers of Honduras, Printed by A. J. Valpy"		
		P	Lon 32	xxx		1	"The history and lives of all the most notorious pirates, and their crews : from Capt. Avery, who first settled at Madagascar, to Capt. John Gow, and James Williams, his lieutenant, &c. who were hanged at Execution Dock, June 11, 1725, for piracy and murther ... to which is prefixed, An abstract of the laws against piracy"	London	UK	1725	1725				Gale / Sabin Americana	"Printed for Edward Midwinter, at the Looking-Glass on London-Bridge"		
		P	Laws 1857	1765	1857	1	The laws of the settlement of British Honduras in force in the twentieth year of the reign of Her Majesty Queen Victoria	Belize	Belize	1857	1857				Burdon 1			
		P	Laet a	xxx		1	"Nieuwe Wereldt ofte Beschrijvinghe van West-Indien, uit veelerhande Schriften ende Aen-teekeningen van verscheyden Natien"	Leiden	Netherlands	1625	1625							
		P	Laet a	1624	1636	1	"Historie ofte iaerlijck verhael van de verrichtinghen der geoctroyeerde West-Indische Compagnie, zedert haer begin, tot het eynde van 't jaer sesthien-hondert ses-en-dertich; begrepen in derthien boecken, ende met verscheyden koperen platen verciert"	Leiden	Netherlands	1644	1644				Goslinga	"Laet/Naber = version edited by S. P. l'Honoré Naber = Iaerlyck verhael van de verrichtinghen der Geoctroyeerde West-Indische compagnie [Hague, Mart. Nijhoff, 1931–37], 4 vols

Laet port = Portuguese translation by Drs. Jose Hygino Duarte Pereira and Pedro Souto Maior = Historia ou annaes dos feitos da Companhia privilegiada das Indias occidentaes desde o seu começo até ao fim do anno de 1636 [Rio de Janeiro, Officinas graphicas da Bibliotheca nacional, 1916-1925], 2 vols"		
		P	Dampier	1669	1691	2	Voyages			1697	1699				Oxford DNB	"= A new voyage around the world [London : Printed for James Knapton ..., 1697], Voyages and Discoveries [1699]
First edition of Voyages and Discoveries 1699 not located"		
