Table 1
Series T 0—300 / Trade.																																																									
ID	NO	YR	LOG T ENG F ALL	Q	CF	LOG T JAM F ALL	Q	CF	LOG T BOS F ALL	Q	CF	LOG T NYC F ALL	Q	CF	ALL T ENG F SWI	LOG T ENG F SWI	MAH T ENG F SWI	CF	ALL T ENG F HON	LOG T ENG F HON	MAH T ENG F HON	CF	ALL T ENG F MOS	LOG T ENG F MOS	MAH T ENG F MOS	CF	ALL T SCOT F HON	LOG T SCOT F HON	MAH T SCOT F HON	CF	ALL T GB F FWI	LOG T GB F FWI	MAH T GB F FWI	CF	ALL T GB F BWI	LOG T GB F BWI	MAH T GB F BWI	CF	ALL T GB F HON	LOG T GB F HON	MAH T GB F HON	CF	ALL T HON F ALL	ALL T ALL F HON	ALL T ALL F HON REEXP	ALL T HON F GB	ALL T GB F HON	CF	NOTE	ALL T HON F ALL	ALL T ALL F HON	ALL T ALL F HON REEXP	ALL T HON F GB	ALL T GB F HON	CF	NOTE	
T 119	119	1789	"7,346.07"	4.0	CUST 17/11																						" £	11,974.65 "	" £	510.46 "	" £	11,439.61 "	CUST 14/8									" £	119,548.67 "	" £	25,327.16 "	" £	92,623.31 "	CUST 17/11															
T 120	120	1790	"6,015.12"	4.0	CUST 17/12																						" £	4,060.28 "	" £	159.85 "	" £	3,857.12 "	CUST 14/9									" £	100,298.98 "	" £	19,280.33 "	" £	78,928.40 "	CUST 17/12															
T 121	121	1791																									" £	15,899.26 "	" £	360.50 "	" £	15,382.13 "	CUST 14/10									" £	52,900.45 "	" £	8,350.19 "	" £	40,923.35 "	CUST 17/13															
T 122	122	1792																									" £	9,599.20 "	" £	413.00 "	" £	9,166.70 "	CUST 14/11									" £	64,509.11 "	" £	13,492.15 "	" £	45,963.51 "	CUST 17/14															
T 123	123	1793																									" £	4,763.41 "	" £	145.25 "	" £	4,565.00 "	CUST 14/12									" £	47,192.50 "	" £	5,106.14 "	" £	35,375.28 "	CUST 17/15															
T 124	124	1794																									" £	19,321.22 "	" £	535.00 "	" £	18,712.45 "	CUST 14/12									" £	42,885.23 "	" £	8,064.92 "	" £	33,009.85 "	CUST 17/16															
T 125	125	1795																																					" £	20,366.35 "	" £	4,693.98 "	" £	15,217.65 "	CUST 17/17															
T 126	126	1796																									" £	2,963.15 "	" £	238.00 "	" £	2,725.15 "	CUST 14/13A									" £	26,418.33 "	" £	10,529.30 "	" £	15,113.70 "	CUST 17/18															
T 127	127	1797																																					" £	38,276.98 "	" £	11,974.13 "	" £	26,163.02 "	CUST 17/19															
T 128	128	1798																																					" £	6,579.39 "	" £	1,927.77 "	" £	4,406.83 "	CUST 17/20															
T 129	129	1799																																					" £	920.03 "	" £	-  "	" £	-  "	CUST 17/21															
T 130	130	1800																									" £	6,642.18 "	" £	294.24 "	" £	6,341.82 "	CUST 14/13A									" £	16,777.75 "	" £	1,658.40 "	" £	14,805.28 "	CUST 17/22															
T 131	131	1801																									" £	232.26 "	" £	-  "	" £	232.26 "	CUST 14/14									" £	17,642.39 "	" £	2,804.13 "	" £	13,632.60 "	CUST 17/23															
T 132	132	1802																									" £	3,478.84 "	" £	83.91 "	" £	3,394.93 "	CUST 14/15									" £	59,848.82 "	" £	9,149.00 "	" £	49,883.90 "	CUST 17/24															
T 133	133	1803																									" £	12,668.33 "	" £	582.65 "	" £	12,073.69 "	CUST 14/16									" £	91,934.19 "	" £	14,886.67 "	" £	75,432.56 "	CUST 17/25															
T 134	134	1804																									" £	13,327.51 "	" £	439.73 "	" £	12,887.79 "	CUST 14/17									" £	86,115.80 "	" £	11,153.98 "	" £	73,284.13 "	CUST 17/26															
T 135	135	1805																									" £	11,678.64 "	" £	587.48 "	" £	11,091.15 "	CUST 14/18									" £	83,777.10 "	" £	11,427.14 "	" £	71,360.34 "	CUST 17/27															
T 136	136	1806																									" £	15,598.15 "	" £	749.19 "	" £	14,848.97 "	CUST 14/19									" £	76,244.75 "	" £	10,934.17 "	" £	64,881.96 "	CUST 17/28															
T 137	137	1807																									" £	11,859.58 "	" £	435.03 "	" £	11,395.25 "	CUST 14/20									" £	60,013.10 "	" £	10,429.84 "	" £	49,154.70 "	CUST 17/29															
T 138	138	1808																									" £	17,166.96 "	" £	581.69 "	" £	16,560.90 "	CUST 14/21									" £	61,045.57 "	" £	8,252.05 "	" £	52,334.43 "	CUST 17/30															
T 139	139	1809																	" £	59,816.62 "	" £	10,063.98 "	" £	48,599.69 "	CUST 4/5																																			
T 140	140	1810																	" £	74,979.92 "	" £	12,205.43 "	" £	61,878.63 "	CUST 4/6					" £	17,144.81 "	" £	425.18 "	" £	16,677.50 "	CUST 14/22																											
T 141	141	1811																	" £	95,795.02 "	" £	16,079.40 "	" £	78,330.22 "	CUST 4/7					" £	9,581.46 "	" £	338.98 "	" £	9,237.23 "	CUST 14/23																											
T 142	142	1812																	" £	71,670.21 "	" £	11,665.87 "	" £	59,537.66 "	CUST 4/8					" £	20,547.96 "	" £	951.60 "	" £	19,596.36 "	CUST 14/24																											
T 143	143	1813																									" £	15,146.40 "	" £	599.63 "	" £	14,533.95 "	CUST 14/25																											
