Table 1
	S$ to Lsd	G$ to Lsd	Population	Imports All	Exports All	Exports to UK	Imports from UK	Spending	Loan spending	Debt outstanding	Spending £	Imports £	Exports £	CPI £	Spending 2020	Imports 2020	Exports 2020	GDP USD	USD to £	GDP 2020	Spending pc	Imports pc	Exports pc	SPENDING	IMPORTS	EXPORTS
1993														555	110542864	373815971	347791958	559858250	1	744884683	15	50	47	283574121	958945079	892186030
1994														569	113127967	388066993	368779168	580863700	1	740046290	15	52	50	290205650	995503035	946024236
1995														588	105798568	363825311	355305872	620140400	1	740822329	14	49	48	271403643	933316175	911461372
1996														602	106992874	380323107	378337305	641383800	1	756622823	14	50	50	274467379	975637748	970543598
1997														621	103592174	397144446	376271261	654314350	1	712914529	15	56	53	265743610	1018789303	965243603
1998														643	102835672	408456772	377272527	688992450	1	717500930	14	57	53	263802965	1047808660	967812138
1999														653	103943606	518454164	418135814	732750000	1	769760825	14	67	54	266645135	1329983491	1072638175
2000														672	117233965	669107731	481100374	832050000	1	908187986	13	74	53	300738714	1716453057	1234160316
2001														684	128580564	678620228	499569979	868350000	1	978175671	13	69	51	329845990	1740855339	1281540144
2002														695	141854331	655660604	521142182	925050000	1	983497364	14	67	53	363897007	1681957323	1336879025
2003														715	137492865	620048018	500139689	983500000	1	933845150	15	66	54	352708597	1590600836	1283001614
2004														737	121360396	508724152	439581157	1051350000	1	864075290	14	59	51	311324190	1305023221	1127651627
2005														757	129726928	562856299	490722922	1102050000	1	887976024	15	63	55	332786742	1443887690	1258844908
2006														782	133087409	578798231	573935694	1210150000	1	933194666	14	62	62	341407339	1484783314	1472309513
2007														815	131914657	537027021	535941214	1271600000	0	864377183	15	62	62	338398896	1377628190	1374842783
2008														848	150069145	679773178	608707820	1351350000	1	963624302	16	71	63	384970358	1743812985	1561509979
2009														843	179156776	633348218	581538728	1317300000	1	1109926206	16	57	52	459588466	1624719661	1491813474
2010														882	181447454	657778336	662352743	1377200000	1	1121602439	16	59	59	465464713	1687389914	1699124578
2011														928	170996716	700577885	681958967	1460800000	1	1089060124	16	64	63	438655575	1797183019	1749420161
2012														958	171895120	710197557	717424082	1522900000	1	1113099992	15	64	64	440960239	1821860234	1840398342
2013														987	176304416	756082862	742086256	1579400000	1	1135373804	16	67	65	452271345	1939569190	1903663886
2014														1010	170331130	723623971	690879361	1662800000	1	1108646561	15	65	62	436948154	1856302836	1772303526
2015														1020	191257324	812412904	721120950	1723800000	1	1226073686	16	66	59	490629839	2084071890	1849881868
2016														1030	237875307	872083298	744562099	1775100000	1	1415450520	17	62	53	610218324	2237143548	1910015132
2017														1057	249026164	874678543	822909800	1836600000	1	1496845048	17	58	55	638823468	2243801096	2110999435
2018														1080	251950488	835548451	831146990	1871200000	1	1440404153	17	58	58	646325196	2143421197	2132130187
2019														1100	259979835	862176294	857634564	1879613600	1	1486310421	17	58	58	666922773	2211729245	2200078405
2020														1109					1							
