C1—30 / Online collections of archival material.
ID	NO	TYPE	ALT ID	PERIOD	PERIOD	VOLS	ITEM	CITY	COUNTRY	FIRST PUB	LAST PUB	VIA	NOTE	LINK	
		P	Cockburn	xxx		1	"A journey over land, from the Gulf of Honduras to the great South-Sea. Performed by John Cockburn, and five other Englishmen, viz. Thomas Rounce, Richard Banister, John Holland, Thomas Robinson, and John Ballman; Who were taken by a Spanish Guarda-Costa, in the John and Jane, Edward Burt Master, and set on Shoar at a Place called Forto-Cavalo, naked and wounded, as mentioned in several News-Papers of October, 1731. Containing, Variety of extraordinary Distresses and Adventures, and some New and Useful Discoveries of the Inland of those almost unknown Parts of America: As also, An exact Account of the Manners, Customs, and Behaviour of the several Indians inhabiting a Tract of Land of 2400 Miles; particularly of their Dispositions towards the Spaniards and English. To which is added, a curious piece, written in the reign of King James I. and never before printed, intitled, A brief discoverye of some things best worth noteinge in the travells of Nicholas Withington, a Factor in the East-Indiase"	London	UK	1735	1735		"London : printed for C. Rivington, at the Bible and Crown in St. Paul's Church yard, M.DCC.XXXV. [1735"	https://link.gale.com/apps/doc/CW0102436627/ECCO?u=camb55135&sid=ECCO&xid=807437e6&pg=1	
		P	Cockburn	xxx		1	"The unfortunate Englishmen, or, A faithful narrative of the distresses and adventures of John Cockburn, and five other English mariners ... who were taken by a Spanish guarda costa in the John and Ann, Edward Burt, master, and set on shore at a place call'd Porto-Cavallo ... "	London	UK	1740	1740			https://link.gale.com/apps/doc/CY0101299426/SABN?u=camb55135&sid=SABN&xid=cb833230	
		P	Crowe	xxx		1	"The gospel in Central America; containing a sketch of the country, physical and geographical, historical and political, moral and religious: a history of the Baptist mission in British Honduras, and of the introduction of the Bible into the Spanish American republic of Guatemala"	London	UK	1850	1850			https://www.google.com/books/edition/The_Gospel_in_Central_America/bbfvrEZZYa4C?hl=en&gbpv=1&printsec=frontcover	
		P	Dunn	xxx		1	"Guatimala, or the Republic of Central America, in 1827-8 : being sketches and memorandums made during a twelve-months' residence"	London	UK	1829	1829			https://www.google.com/books/edition/Guatimala_Or_the_Republic_of_Central_Ame/y3VHAAAAYAAJ?hl=en	
		P	ECCACAC	xxx		1	"Brief statement, supported by original documents, of the important grants conceded to the Eastern Coast of Central America Commercial and Agricultural Company by the State of Guatemala"	London	UK	1839	1839	Gale / Making of the Modern World		https://link.gale.com/apps/doc/U0105696622/MOME?u=camb55135&sid=MOME&xid=7e4b2aed	
		P	Henderson	xxx		1	"An account of the British settlement of Honduras : being a view of its commercial and agricultural resources, soil, climate, natural history, &c. : to which are added, sketches of the manners and customs of the Mosquito Indians, preceded by the journal of a voyage to the Mosquito shore ..."	London	UK	1809	1809			https://link.gale.com/apps/doc/CY0102004169/SABN?u=camb55135&sid=SABN&xid=76d2c636	
		P	Jefferys	xxx		1	"The West-India atlas, or, A compendious description of the West-Indies : illustrated with forty correct charts and maps, taken from actual surveys : together with an historical account of the several countries and islands which compose that part of the world, their discovery, situation, extent, boundaries, product, trade, inhabitants, strength, government, religion, &c."	London	UK	1775	1775			"Book: https://link.gale.com/apps/doc/CY0110763069/SABN?u=camb55135&sid=SABN&xid=f28b570d
Map of Hon: https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~2799~310048:The-Bay-of-Honduras--By-Thos--Jeffr# 
Map of Hon: https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~1924~120030:Bay-of-Honduras-?qvq=w4s:/when%2F1776;q:%3D%22Honduras%22;lc:RUMSEY~8~1&mi=0&trs=1
Map of Rat: https://www.davidrumsey.com/luna/servlet/workspace/handleMediaPlayer?qvq=w4s%253A%252Fwhen%252F1775%253Bq%253A%253D%2522Honduras%2522%253Blc%253ARUMSEY%257E8%257E1&trs=3&mi=2&lunaMediaId=RUMSEY~8~1~2809~310058"	
		P	Knight	xxx		1	"The state of the island of Jamaica. Chiefly in relation to its commerce, and the conduct of the Spaniards in the West-Indies. Address'd to a member of Parliament. By a person who resided several years at Jamaica"	London	UK	1726	1726		Printed for H. Whitridge	https://link.gale.com/apps/doc/U0100618230/MOME?u=camb55135&sid=MOME&xid=62daebbf	
		P	Lon 32	xxx		1	"The history and lives of all the most notorious pirates, and their crews : from Capt. Avery, who first settled at Madagascar, to Capt. John Gow, and James Williams, his lieutenant, &c. who were hanged at Execution Dock, June 11, 1725, for piracy and murther ... to which is prefixed, An abstract of the laws against piracy"	London	UK	1725	1725	Gale / Sabin Americana	"Printed for Edward Midwinter, at the Looking-Glass on London-Bridge"	https://link.gale.com/apps/doc/CB0129383093/ECCO?u=camb55135&sid=ECCO&xid=9f5c40df	
		P	Lon 43	xxx		1	"Certaine inducements to well minded people, who are heere straitned in their estates or otherwise or such as are willing out of noble and pub[l]ique principles, to tran[s]port themselves, or servants, or agents for them into the West-Indies, for the propagating the Gospell, and increase of trade."	London	UK	1643	1643	ProQuest / Early English Books Online		http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/certaine-inducements-well-minded-people-who-are/docview/2248561152/se-2?accountid=11311	
