Series L 0—382 / Currency and exchange.
ID	NO	YR	SP $ HON TREAS	US $ HON TREAS	HON $ HON TREAS	HON £ HON TREAS	£ HON TREAS	PENCE HON TREAS	CF	NOTE	SP $ JAM MARK	J £ JAM MARK	J PENCE 78 JAM MARK	J PENCE 93 JAM MARK	£ JAM MARK	PAR JAM MARK	CF	NOTE
L 86	86	1724	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 87	87	1725	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 88	88	1726	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 89	89	1727	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 90	90	1728	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 91	91	1729	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 92	92	1730	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 93	93	1731	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 94	94	1732	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 95	95	1733	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 96	96	1734	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 97	97	1735	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 98	98	1736	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 99	99	1737	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
