Series S 0—435 / Primary and secondary sources.
ID	NO	PRIMARY	TYPE	ALT ID	PERIOD	PERIOD	SIZE	UNITS	ITEM	REPOSITORY	CITY	COUNTRY	CITY	COUNTRY	FIRST PUB	LAST PUB	AUTHORS	EDITORS	JOURNAL	V	I	VIA	NOTE	LINK	
S 79	79	1	MS	CUST d/d	1554	2019	208	series	"Records of the Boards of Customs, Excise, and Customs and Excise, and HM Revenue and Customs"	National Archives	Kew	UK										TNA Kew Catalogue			
S 80	80	1	P	Dampier	1669	1691	2	vols	Voyages						1697	1699						Oxford DNB	"= A new voyage around the world [London : Printed for James Knapton ..., 1697], Voyages and Discoveries [1699]
First edition of Voyages and Discoveries 1699 not located"	"ProQuest/EEBO v1: http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/new-voyage-around-world-describing-particularly/docview/2240952603/se-2?accountid=11311
ProQuest/EEBO v2: http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/voyages-descriptions-three-parts-which-is-added/docview/2264207852/se-2?accountid=11311
Harvard v2: https://nrs.harvard.edu/urn-3:DOAK.RESLIB:24900314"	
S 84	84	1	P	DHY	xxx		3	vols	Documentos para la historia de Yucatán				Merida	Mexico	1936	1938						Gerhard xi	Recopilados por France V. Scholes y publicados por Carlos R. Menéndez		
S 87	87	1	P	Dunn	xxx		1	vols	"Guatimala, or the Republic of Central America, in 1827-8 : being sketches and memorandums made during a twelve-months' residence"				London	UK	1829									https://www.google.com/books/edition/Guatimala_Or_the_Republic_of_Central_Ame/y3VHAAAAYAAJ?hl=en	
S 88	88	1	P	Duro	xxx		9	vols	Armada española desde la unión de los reinos de Castilla y de León				Madrid	Spain	1895	1903							Attributed to Cesáreo Fernández Duro		
S 92	92	1	P	ECCACAC	xxx		1	vols	"Brief statement, supported by original documents, of the important grants conceded to the Eastern Coast of Central America Commercial and Agricultural Company by the State of Guatemala"				London	UK	1839							Gale / Making of the Modern World		https://link.gale.com/apps/doc/U0105696622/MOME?u=camb55135&sid=MOME&xid=7e4b2aed	
S 93	93	1	P	Edwards	xxx		2	vols	"The History, Civil and Commercial, of the British Colonies in the West Indies"				London	UK	1793	1793							Printed for John Stockdale	"Gale/ECCO v1: https://link.gale.com/apps/doc/CW0103748193/ECCO?u=camb55135&sid=ECCO&xid=ed813523
Gale/ECCO v2: https://link.gale.com/apps/doc/CW0103748733/ECCO?u=camb55135&sid=ECCO&xid=d31d617d"	
S 94	94	1	MS	Egerton MS	701	1999	3942	mss	Egerton Manuscripts	British Library	London	UK										BL Catalogue			
S 96	96	1	MS	"ESCRIBANIA,a"	1525	1778	2864	legajos	Escribanía de Cámara de Justicia	Archivo General de Indias	Seville	Spain										PARES			
S 97	97	1	MS	"EST, d"	1509	1789	8343	legajos	Secretaría de Estado	Archivo General de Simancas	Valladolid	Spain										AGS Guía del Investigador	AGS Guía del Investigador Link: file:///Users/angelnavidad/Downloads/guia-del-investigador.pdf		
S 98	98	1	MS	"ESTADO,d"	1683	1860	105	legajos	Estado	Archivo General de Indias	Seville	Spain										PARES			
S 100	100	1	P	Exquemeling	1666	1674	1	vols	De Americaensche zee-roovers				Amsterdam	Netherlands	1678									"https://link.gale.com/apps/doc/CY0103030375/SABN?u=camb55135&sid=SABN&xid=b83ad9b2
English translation: https://www.gutenberg.org/dirs/2/6/6/9/26690/26690-h/26690-h.htm"	
S 102	102	1	MS	FCO d/d	1878	2019	188	series	Records of the Foreign and Commonwealth Office and predecessors	National Archives	Kew	UK										TNA Kew Catalogue			
S 108	108	1	MS	FO d/d	1567	2004	1113	series	Records created or inherited by the Foreign Office	National Archives	Kew	UK										TNA Kew Catalogue			
S 		1	P	Fowler	xxx		1	vols	"A narrative of a Journey across the unesplored portion of British Honduras, with a short sketch of the History and Resources of the Colony"				xxx		1879		H. Fowler					Burdon 3		xxx	
S 110	110	1	P	FSP	1373	1974	170	vols	British and Foreign State Papers				London	UK	1841	1977						Burdon 1		http://id.lib.harvard.edu/alma/99154275019103941/catalog	
S 112	112	1	P	Gage	1625	1637	1	vols	"The English-American, his travail by sea and land"				London	UK	1648							Oxford DNB		http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/english-american-his-travail-sea-land-new-survey/docview/2248525331/se-2?accountid=11311	
S 113	113	1	MS	GC a	1790	1854	16	vols	Grand Court of Assize	Archives and Records Service	Belmopan	Belize										Burdon 1	"Inc Summary Courts in earlier vols /Burdon 1
d = F, T, Q, U, X, AA, BB, CC, DD, EE, FF, GG, HH, II, C1, C2"		
S 124	124	1	MS	"GUATEMALA,a"	1525	1837	971	legajos	Audiencia de Guatemala	Archivo General de Indias	Seville	Spain										PARES	PARES Link: http://pares.mcu.es/ParesBusquedas20/catalogo/search 		
S 125	125	1	P	Haefkens	xxx		1	vols	"Centraal Amerika : uit een geschiedkundig, aardrijkskundig en statistiek oogpunt beschouwd"				Dordrecht	Netherlands	1832							Barke 16 182	"Sp edition by Theodora J. M. van Lottum, Guatemala, Editorial Universitaria, 1969"	Dutch: https://www.google.com/books/edition/Centraal_Amerika/QEwCAAAAYAAJ?hl=en&gbpv=1&printsec=frontcover	
S 127	127	1	S	Hansard	1803	2021	693	issues	Hansard’s Parliamentary Debates				London	UK	1803	2021						UK Parliament		https://hansard.parliament.uk	
S 129	129	1	P	Harlow	1642	1645	1	vols	"Camden Miscellany, volume XIII, The voyages of Captain William Jackson, 1642-5  
"				London	UK	1924							RHS Catalogue	"= Camden Third Series, volume XXXIV /RHS Catalogue Link: https://royalhistsoc.org/publications/camden-series/ "	file:///Users/angelnavidad/Downloads/harlow1924.pdf	
S 131	131	1	S	HC d	1715	2021	xxx		House of Commons Papers				London	UK	1715	2021						ProQuest / UK Parliamentary Papers	Place of publication assumed	https://parlipapers-proquest-com.ezp-prod1.hul.harvard.edu/parlipapers/search/basic/hcppbasicsearch?accountid=11311	
S 132	132	1	P	Henderson	xxx		1	vols	"An account of the British settlement of Honduras : being a view of its commercial and agricultural resources, soil, climate, natural history, &c. : to which are added, sketches of the manners and customs of the Mosquito Indians, preceded by the journal of a voyage to the Mosquito shore ..."				London	UK	1809									https://link.gale.com/apps/doc/CY0102004169/SABN?u=camb55135&sid=SABN&xid=76d2c636	
