Series S 0—421 / Primary sources which are deposited series or collections.
ID	NO	PRIM	COLL	TYPE	ALT ID	CITED	PERIOD	PERIOD	SIZE	UNITS	ITEM	REPOSITORY	CITY	COUNTRY	IMPRINT	CITY	COUNTRY	FIRST PUB	LAST PUB	AUTHORS	EDITORS	JOURNAL	V	I	VIA	NOTE	LINK	END	
S 237	237	1	1	MS	FO d/d	xxx	1567	2004	1113	series	Records created or inherited by the Foreign Office	National Archives	Kew	UK	np	np	np	np	np	np	np	np	np	np	TNA Kew Catalogue	xnp	xnp	###	
S 239	239	1	1	MS	PREM d/d	5	1844	2020	51	series	Records of the Prime Minister's Office	National Archives	Kew	UK	np	np	np	np	np	np	np	np	np	np	TNA Kew Catalogue	xnp	xnp	###	
S xxx	xxx	1	1	MS	PROB 11/d	0	1384	1858	2263	vols	Prerogative Court of Canterbury and related Probate Jurisdictions: Will Registers	National Archives	Kew	UK	np	np	np	np	np	np	np	np	np	np	TNA Kew Catalogue	xnp	xnp	###	
S xxx	xxx	1	1	MS	PROB 20/d	0	1623	1838	2993	items	Supplementary Wills Series I	National Archives	Kew	UK	np	np	np	np	np	np	np	np	np	np	TNA Kew Catalogue	xnp	xnp	###	
S 241	241	1	1	MS	SP d/d	xxx	1231	1888	127	series	"Records assembled by the State Paper Office, including papers of the Secretaries of State up to 1782"	National Archives	Kew	UK	np	np	np	np	np	np	np	np	np	np	TNA Kew Catalogue	Cited as SPF Archives / SPF Spain in Burdon 1–3	xnp	###	
S xxx	xxx	1	1	MS	T 1/d	0	1557	1946	12627	vols	Treasury: Treasury Board Papers and In-Letters	National Archives	Kew	UK	np	np	np	np	np	np	np	np	np	np	TNA Kew Catalogue	xnp	xnp	###	
S xxx	xxx	1	1	MS	WO d/d	0	1568	2007	417	series	"Records created or inherited by the War Office, Armed Forces, Judge Advocate General, and related bodies"	National Archives	Kew	UK	np	np	np	np	np	np	np	np	np	np	xnp	xnp	xnp	###	
S 247	247	1	1	MS	Lib Jam MS d	1	1655	2017	2521	mss	Manuscript and Archive Collection	National Library of Jamaica	Kingston	Jamaica	np	np	np	np	np	np	np	np	np	np	Lib Jam Catalogue	Lib Jam Catalogue Link: https://nlj.gov.jm/manuscripts-2/ 	xnp	###	
S 403	403	1	1	MS	xxx	0	1633	1633	1	items	Certificate	West Yorkshire Archive Service	Leeds	UK	np	np	np	np	np	np	np	np	np	np	xnp	Ref WYL100/PO/6/X/1 / TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/3ab55b40-58ae-4c36-aac0-088ea937d165	xnp	###	
S 209	209	1	1	MS	xxx	0	1763	1763	1	items	Leverpool	Liverpool Record Office	Liverpool	UK	np	np	np	np	np	np	np	np	np	np	xnp	Ref 920 NIC/5/5/74 / TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/65573d34-8ceb-4e7d-83ce-1859b0d115be	xnp	###	
S 115	115	1	1	MS	Add MS	33	1	2019	157097	mss	Additional Manuscripts	British Library	London	UK	np	np	np	np	np	np	np	np	np	np	BL Catalogue	"PERIOD = 1 set arbitrarily / couple Add MS dated BCE /BL Catalogue, Link: http://searcharchives.bl.uk/primo_library/libweb/action/search.do?vid=IAMS_VU2"	xnp	###	
S 117	117	1	1	P	BL Thomason Tracts E. d	1	1640	1661	2008	vols	Thomason Tracts	British Library	London	UK	np	np	np	np	np	np	np	np	np	np	"G. K. Fortescue, Catalogue, London : 1908, Link: https://www.bl.uk/collection-guides/thomason-tracts "	xnp	xnp	###	
S 119	119	1	1	MS	Egerton MS	11	701	1999	3942	mss	Egerton Manuscripts	British Library	London	UK	np	np	np	np	np	np	np	np	np	np	BL Catalogue	xnp	xnp	###	
