Series S 0—435 / Primary and secondary sources.
ID	NO	PRIMARY	TYPE	ALT ID	AUTHORS	EDITORS	PERIOD	PERIOD	VOLS	UNITS	JOURNAL	V	I	ITEM	REPOSITORY	CITY	COUNTRY	CITY	COUNTRY	FIRST PUB	LAST PUB	VIA	NOTE	LINK	
S 80	80	1	P	Dampier			1669	1691	2					Voyages						1697	1699	Oxford DNB	"= A new voyage around the world [London : Printed for James Knapton ..., 1697], Voyages and Discoveries [1699]
First edition of Voyages and Discoveries 1699 not located"	"ProQuest/EEBO v1: http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/new-voyage-around-world-describing-particularly/docview/2240952603/se-2?accountid=11311
ProQuest/EEBO v2: http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/voyages-descriptions-three-parts-which-is-added/docview/2264207852/se-2?accountid=11311
Harvard v2: https://nrs.harvard.edu/urn-3:DOAK.RESLIB:24900314"	
S 81	81	0	A	Dapson	"R. Dapson, C. Bain"						Biotechnic and histochemistry	90	6	"Brazilwood, sappanwood, brazilin and the red dye brazilein"						2015				http://ezp-prod1.hul.harvard.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=aph&AN=108394375&site=ehost-live&scope=site	
S 82	82	0	A	Davis	R. Davis						Economic History Review	7	2	"English Foreign Trade, 1660-1700"						1954				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/2591619	
S 83	83	0	A	Dawson	F. G. Dawson						Hispanic American Historical Review	63	4	"William Pitt’s Settlement at Black River on the Mosquito Shore: A Challenge to Spain in Central America, 1732-87"						1983				https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00182168-63.4.677	
S 84	84	1	P	DHY			xxx		3					Documentos para la historia de Yucatán				Merida	Mexico	1936	1938	Gerhard xi	Recopilados por France V. Scholes y publicados por Carlos R. Menéndez		
S 85	85	0	P	Dobson	N. Dobson				1					A History of Belize				London	UK	1973				xxx	
S 86	86	0	A	Downey	S. S. Downey						Ethnohistory	62	4	"Q'eqchi' Maya Swidden Agriculture, Settlement History, and Colonial Enterprise in Modern Belize"						2015				https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00141801-3135338	
S 87	87	1	P	Dunn			xxx		1					"Guatimala, or the Republic of Central America, in 1827-8 : being sketches and memorandums made during a twelve-months' residence"				London	UK	1829	1829			https://www.google.com/books/edition/Guatimala_Or_the_Republic_of_Central_Ame/y3VHAAAAYAAJ?hl=en	
S 88	88	1	P	Duro			xxx		9					Armada española desde la unión de los reinos de Castilla y de León				Madrid	Spain	1895	1903		Attributed to Cesáreo Fernández Duro		
S 89	89	0	P	Dutt	R. Dutt				1					"Empire on Edge : The British Struggle for Order in Belize during Yucatan's Caste War, 1847—1901"				Cambridge	UK	2020				Intro: file:///Users/angelnavidad/Downloads/introduction.pdf	
