C1—30 / Online collections of archival material.
ID	NO	TYPE	ALT ID	PERIOD	PERIOD	NO.	UNITS	ITEM	REPOSITORY	CITY	COUNTRY					VIA	NOTE	
		MS		1824	1829	7	items	"La Nouvelle Neustrie collection, 1824-1829, undated"	New-York Historical Society	New York	USA						https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph004680486	
		MS		1772	1773	1	items	"James Glean notarized document, 1773 February 3"	New-York Historical Society	New York	USA						https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph003431907	
		MS		1762	1768	2	vols	"Letter book and waste book, 1762-1768."	New-York Historical Society	New York	USA						https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph001616011	
		MS		1847	1847	1	items	"George Alexander Braddick indenture, 1847 February 15"	New-York Historical Society	New York	USA						https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph004077113	
		MS		1756	1757	1	vols	"Letter book, 1756 May 10-1757 Jan. 24."	New-York Historical Society	New York	USA						https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph001708405	
		MS		1791	1832	535	items	"Jacob Le Roy papers, 1791-1832 (bulk 1810-1820)."	New-York Historical Society	New York	USA						https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph000924023	
		MS		xxx		xxx	xxx	Spanish-American Colonial Manuscripts	Newberry Library	Chicago	USA						https://www.newberry.org/node/478	
		MS		1645	1645	1	items	"Accounts   Of trade in various commodities including logwood, stockings & kersey (moth..."	Northamptonshire Archives	Northampton	UK						"Ref Th 1802
TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/b87a326f-fb84-4024-9371-b73f9e4a9003"	
		P		1711	1980	868	vols	Robert Glass Cleland collection on Latin America	Occidental College	Los Angeles	USA							
		MS		1498	2000	14	series	House of Lords: Journal Office: Main Papers	Parliamentary Archives	London	UK						TNA Discovery: http://discovery.nationalarchives.gov.uk/browse/r/h/3eeacff7-c324-4de1-88db-3550038feb19	
